Rank,Score,Firm Name,Website,AUM ($M),Fund Types,# Funds,City,State,Country,CRD#,SEC#,Key Signals
1,69,LGT CAPITAL PARTNERS (IRELAND) LIMITED,HTTPS://WWW.LGTCP.COM,30889.5,"Hedge(2), PE(42), Other(3), Sec(1)",48,DUBLIN,,Ireland,162361,802-75610,hedge_fund_pure_equity_signal; pe_fund_no_vc; other_fund_type; aum_5b+; name_strategy:capital partners
2,68,JNE PARTNERS LLP,https://www.jnepartners.com,1481.4,"Hedge(1), PE(1)",2,LONDON,,United Kingdom,300860,802-114905,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_1b+; concentrated_few_funds; name_strategy:partners
3,64,"OPEN FOREST ASSET MANAGEMENT, LLC",https://www.linkedin.com/company/open-forest-asset-management/about/,759.1,"Hedge(2), PE(1), Other(2)",5,,,,299748,802-114557,hedge_fund_pure_equity_signal; pe_fund_no_vc; other_fund_type; aum_500m+; moderate_fund_count
4,64,SPARTA CAPITAL MANAGEMENT LTD,https://www.linkedin.com/company/sparta-capital-management-ltd/about/,516.6,"Hedge(1), PE(1)",2,LONDON,,United Kingdom,315703,802-122576,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_500m+; concentrated_few_funds; name_strategy:capital management
5,64,ILEX CAPITAL PARTNERS (UK) LLP,http://www.ilexcapital.com/,7049.0,Hedge(1),1,LONDON,,United Kingdom,326508,802-128546,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:capital partners; name_strategy:partners
6,63,ORCHARD GLOBAL ASSET MANAGEMENT (S) PTE LTD,HTTPS://WWW.LINKEDIN.COM/COMPANY/ORCHARD-GLOBAL-ASSET-MANAGEMENT/ABOUT/,1488.4,"Hedge(3), PE(1)",4,SINGAPORE,,Singapore,163988,802-76672,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_1b+; moderate_fund_count; name_strategy:asset management
7,63,JANCHOR PARTNERS,https://janchorpartners.com/,4945.2,"Hedge(5), PE(1)",6,CENTRAL,,Hong Kong,160420,802-75222,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_1b+; moderate_fund_count; name_strategy:partners
8,63,ARKKAN CAPITAL MANAGEMENT LIMITED,HTTP://WWW.ARKKANCAPITAL.COM/,1087.0,"Hedge(1), Other(1)",2,CENTRAL,,Hong Kong,170968,802-79493,hedge_fund_pure_equity_signal; other_fund_type; aum_1b+; concentrated_few_funds; name_strategy:capital management
9,63,ACTIVE OWNERSHIP CORPORATION S.À R.L.,http://activeownership.lu,1426.8,Hedge(2),2,GREVENMACHER,,Luxembourg,310391,802-119520,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_positive:owner; clean_regulatory
10,62,BLOOMBERGSEN INVESTMENT PARTNERS,HTTP://WWW.BLOOMBERGSEN.COM,705.9,"Hedge(4), PE(2)",6,TORONTO,,Canada,281189,802-110556,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_500m+; moderate_fund_count; name_strategy:investment partners
11,61,CRAKE ASSET MANAGEMENT,HTTP://CRAKEAM.COM/,6033.3,Hedge(1),1,LONDON,,United Kingdom,304493,802-117150,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
12,61,3D INVESTMENT PARTNERS PTE. LTD.,HTTP://WWW.3DIPARTNERS.COM,4614.6,Hedge(2),2,SINGAPORE,,Singapore,282411,802-107363,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:investment partners; name_strategy:partners
13,61,"MELODY CAPITAL PARTNERS, LP",HTTP://WWW.MELODY.COM,145.1,"Hedge(3), PE(1)",4,NEW YORK,NY,United States,295190,802-132337,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; moderate_fund_count; name_strategy:capital partners
14,61,ARROWPOINT INVESTMENT PARTNERS (SINGAPORE) PTE. LTD.,HTTPS://WWW.LINKEDIN.COM/COMPANY/ARROWPOINTFUND/,3565.5,Hedge(1),1,SINGAPORE,,Singapore,331921,802-131094,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:investment partners; name_strategy:partners
15,61,ELAN CAPITAL MANAGEMENT (LONDON) LTD,HTTP://WWW.ELAN-CAP.COM,61670.6,Hedge(1),1,"LONDON, GREATER LONDON",,United Kingdom,291714,802-112295,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
16,61,THE RUSHMERE PARTNERSHIP,https://rushmerepartners.com,120.4,Hedge(1),1,NASHVILLE,TN,United States,336382,802-135463,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_positive:partnership; name_strategy:partners
17,61,VITRUVIAN PARTNERS LLP,HTTP://WWW.VITRUVIANPARTNERS.COM,22704.6,"Hedge(2), PE(17)",19,LONDON,,United Kingdom,162759,802-75782,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_5b+; name_strategy:partners; clean_regulatory
18,61,JJJ CAPITAL MANAGEMENT LLP,https://linkedin.com/company/jjj-capital-management-llp,34052.7,Hedge(2),2,LONDON,,United Kingdom,329074,802-129273,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
19,61,KEYROCK CAPITAL MANAGEMENT LIMITED,https://hk.linkedin.com/company/keyrock-capital-management-limited,443.6,"Hedge(1), PE(2)",3,HONG KONG,,Hong Kong,299521,802-114367,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; concentrated_few_funds; name_strategy:capital management
20,61,"CONGRUENT INVESTMENT PARTNERS, LLC",HTTP://WWW.CONGRUENTINV.COM,120.3,"Hedge(1), PE(4)",5,DALLAS,TX,United States,155803,802-124846,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; moderate_fund_count; name_strategy:investment partners
21,61,AVANDA INVESTMENT MANAGEMENT PTE LTD,HTTPS://SG.LINKEDIN.COM/COMPANY/AVANDA-INVESTMENT-MANAGEMENT,7299.6,Hedge(2),2,SINGAPORE,,Singapore,285656,802-108950,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:investment management; clean_regulatory
22,61,MAPLECAP PARTNERS AG,https://www.maplecap.com/,29517.6,Hedge(1),1,PFAEFFIKON,,Switzerland,339319,802-135083,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:partners; clean_regulatory
23,61,ZEBEDEE CAPITAL PARTNERS LLP,HTTP://WWW.ZEBEDEECAPITAL.COM,2007.5,Hedge(2),2,LONDON,,United Kingdom,162779,802-108757,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:capital partners; name_strategy:partners
24,61,LMR PARTNERS AG,HTTP://WWW.LMRPARTNERS.COM,12028.8,Hedge(2),2,ZURICH,,Switzerland,316468,802-122389,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:partners; clean_regulatory
25,61,ALL-STARS INVESTMENT LIMITED,HTTP://WWW.ALLSTARINVESTMENTS.COM,785.5,"Hedge(1), PE(2), Other(3)",6,HONG KONG,,Hong Kong,292840,802-112839,hedge_fund_pure_equity_signal; pe_fund_no_vc; other_fund_type; aum_500m+; moderate_fund_count
26,61,POLYMER CAPITAL MANAGEMENT (HK) LIMITED,https://www.linkedin.com/company/polymer-capital/,8866.6,Hedge(1),1,HONG KONG,,Hong Kong,308190,802-118884,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
27,61,HENGISTBURY INVESTMENT PARTNERS LLP,HTTP://HENGISTBURYPARTNERS.COM/,2162.9,Hedge(1),1,LONDON,,United Kingdom,164430,802-77414,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:investment partners; name_strategy:partners
28,60,VOR CAPITAL LLP,https://www.vorcapital.co.uk,1392.5,"Hedge(1), PE(3)",4,LONDON,,United Kingdom,297509,802-113815,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_1b+; moderate_fund_count; clean_regulatory
29,60,NAVIS CAPITAL,HTTP://WWW.NAVISCAPITAL.COM,4975.6,"Hedge(3), PE(22), Other(1)",26,KUALA LUMPUR,,Malaysia,162052,802-74720,hedge_fund_pure_equity_signal; pe_fund_no_vc; other_fund_type; aum_1b+; clean_regulatory
30,60,PERMIRA INVESTMENT ADVISERS LIMITED,HTTPS://WWW.YOUTUBE.COM/USER/PERMIRATV,68323.4,"Hedge(32), PE(26), Other(1)",59,ST PETER PORT,,Guernsey,292536,802-113066,hedge_fund_pure_equity_signal; pe_fund_no_vc; other_fund_type; aum_5b+
31,60,ARCM,https://arcmcap.com/,2877.2,"Hedge(1), Other(1)",2,HONG KONG,,Hong Kong,165312,802-77203,hedge_fund_pure_equity_signal; other_fund_type; aum_1b+; concentrated_few_funds; clean_regulatory
32,60,LAKE BLEU CAPITAL (HONG KONG) LIMITED,https://www.linkedin.com/company/lake-bleu-capital-hong-kong-limited,1086.5,"Hedge(2), PE(3)",5,HONG KONG,,Hong Kong,306899,802-118215,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_1b+; moderate_fund_count; clean_regulatory
33,60,AMBIENTA SGR S.P.A.,HTTP://WWW.AMBIENTASGR.COM,4493.5,"Hedge(3), PE(7), Other(4)",14,MILANO,,Italy,292352,802-112795,hedge_fund_pure_equity_signal; pe_fund_no_vc; other_fund_type; aum_1b+; clean_regulatory
34,60,ARCUS INVESTMENT LIMITED,https://uk.linkedin.com/company/arcus-investment-ltd,2479.2,"Hedge(1), Other(2)",3,LONDON,,United Kingdom,162196,802-76646,hedge_fund_pure_equity_signal; other_fund_type; aum_1b+; concentrated_few_funds; clean_regulatory
35,60,NINETY ONE LUXEMBOURG S.A.,https://www.NINETYONE.COM,1821.7,"Hedge(1), Other(2)",3,LUXEMBOURG,,Luxembourg,284886,802-108477,hedge_fund_pure_equity_signal; other_fund_type; aum_1b+; concentrated_few_funds; clean_regulatory
36,60,KHRONOS LLC,https://www.linkedin.com/company/khronos-llc/,126.2,"Hedge(1), PE(1)",2,BRONXVILLE,NY,United States,160167,802-119424,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; concentrated_few_funds; us_based
37,59,FAIR VALUE CAPITAL MANAGEMENT,https://fairvaluecap.com/,106.6,Hedge(1),1,TRIANON,,Mauritius,323250,802-127098,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_positive:value; name_strategy:capital management
38,58,AMIA CAPITAL LLP,https://www.linkedin.com/company/amia-capital/,5669.1,Hedge(1),1,LONDON,,United Kingdom,286664,802-110715,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; clean_regulatory
39,58,TAIREN CAPITAL LIMITED,https://www.tairencapital.com/,5275.5,Hedge(1),1,HONG KONG,,Hong Kong,300911,802-118026,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; clean_regulatory
40,58,"OLD WELL PARTNERS, LLC",https://www.linkedin.com/company/old-well/,111.2,"Hedge(1), PE(3)",4,CHARLOTTE,NC,United States,285195,802-132592,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; moderate_fund_count; name_strategy:partners
41,58,MARSHALL WACE LLP,HTTPS://WWW.MWAM.COM,263178.3,"Hedge(73), PE(2)",75,LONDON,,United Kingdom,160885,802-76358,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_5b+; clean_regulatory
42,58,KONTIKI CAPITAL MANAGEMENT (HK) LIMITED,https://www.kontikicap.com,2950.7,Hedge(3),3,HONG KONG,,Hong Kong,172145,802-80158,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
43,58,RP INVESTMENT ADVISORS LP,https://rpia.us/,2217.2,Hedge(2),2,"TORONTO, ONTARIO",,Canada,333687,802-132233,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:advisors; clean_regulatory
44,58,COREVIEW CAPITAL MANAGEMENT LIMITED,https://hk.linkedin.com/company/coreview-capital-management-limited,2593.9,Hedge(1),1,HONG KONG,,Hong Kong,311966,802-120397,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
45,58,"RED OAK PARTNERS, LLC",HTTP://WWW.REDOAKPARTNERS.COM,81.5,"Hedge(2), PE(1)",3,BOCA RATON,FL,United States,172149,802-119276,hedge_fund_pure_equity_signal; pe_fund_no_vc; concentrated_few_funds; name_strategy:partners; us_based
46,58,TYBOURNE CAPITAL MANAGEMENT (HK) LTD,HTTPS://WWW.TYBOURNECAPITAL.COM,1675.0,"Hedge(2), PE(5)",7,HONG KONG,,Hong Kong,164723,802-76945,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_1b+; name_strategy:capital management; clean_regulatory
47,58,DAVIDE LEONE AND PARTNERS INVESTMENT COMPANY LTD,https://www.dlpartners.com,2649.4,Hedge(3),3,"LONDON, ENGLAND",,United Kingdom,301102,802-114995,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:partners; clean_regulatory
48,58,PERTENTO PARTNERS LLP,https://www.pertento.com/,2177.1,Hedge(2),2,LONDON,,United Kingdom,317498,802-123081,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:partners; clean_regulatory
49,58,"AQUILO CAPITAL MANAGEMENT, LLC",https://www.linkedin.com/company/aquilo-capital-l.p.,136.9,"Hedge(1), Other(1)",2,SAN FRANCISCO,CA,United States,153022,802-132628,hedge_fund_pure_equity_signal; other_fund_type; aum_100m+; concentrated_few_funds; name_strategy:capital management
50,58,GEMSSTOCK LTD.,HTTPS://WWW.GEMSSTOCK.FUND,3725.5,Hedge(2),2,LONDON,,United Kingdom,226738,802-100405,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:stock; clean_regulatory
51,58,BFAM PARTNERS (HONG KONG) LIMITED,http://www.bfam-partners.com,1056.7,Hedge(1),1,HONG KONG,,Hong Kong,332686,802-131037,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:partners; clean_regulatory
52,58,PERSEVERANCE ASSET MANAGEMENT INTERNATIONAL (SINGAPORE) PTE. LTD,https://www.gyasset.com/En/index.html,1163.0,Hedge(2),2,SINGAPORE,,Singapore,322036,802-126336,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
53,58,OLP CAPITAL MANAGEMENT LIMITED,https://www.linkedin.com/company/oceanlink-management/,1872.2,Hedge(2),2,CAUSEWAY BAY,,Hong Kong,289120,802-123178,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
54,58,AKO CAPITAL LLP,HTTPS://WWW.LINKEDIN.COM/COMPANY/AKO-CAPITAL,20133.2,"Hedge(2), Other(3)",5,LONDON,,United Kingdom,160379,802-74303,hedge_fund_pure_equity_signal; other_fund_type; aum_5b+; moderate_fund_count; clean_regulatory
55,58,OXBOW CAPITAL MANAGEMENT (HK) LIMITED,https://www.linkedin.com/company/oxbow-capital-management/about/,1872.3,Hedge(1),1,HONG KONG,,Hong Kong,281481,802-106711,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
56,58,PINPOINT ASSET MANAGEMENT LIMITED,https://twitter.com/pinpointfunds,2500.5,Hedge(2),2,CENTRAL,,Hong Kong,309409,802-119124,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
57,58,SYMMETRY INVESTMENTS LP,HTTPS://WWW.LINKEDIN.COM/COMPANY/SYMMETRY-INVESTMENTS-UK-LLP/,296875.3,Hedge(3),3,ST HELIER,,Jersey,171484,802-80046,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; clean_regulatory
58,58,ASPEX MANAGEMENT (HK) LIMITED,https://www.aspexmanagement.com,10904.3,Hedge(2),2,HONG KONG,,Hong Kong,300189,802-115265,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; clean_regulatory
59,58,FENGHE FUND MANAGEMENT PTE. LTD.,HTTP://WWW.FENGHEASIA.COM/,3846.8,Hedge(1),1,SINGAPORE,,Singapore,288586,802-110806,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:fund management; clean_regulatory
60,58,RAINTREE CAPITAL MANAGEMENT LLC,https://www.linkedin.com/company/raintree-capital-management,73.8,"Hedge(2), PE(1)",3,SCOTTSDALE,AZ,United States,300716,802-118557,hedge_fund_pure_equity_signal; pe_fund_no_vc; concentrated_few_funds; name_strategy:capital management; us_based
61,58,ATTESTOR LIMITED,HTTPS://WWW.ATTESTOR.COM,9479.8,Hedge(1),1,LONDON,,United Kingdom,162623,802-75682,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; clean_regulatory
62,58,ARKENSTONE LLP,http://arkenstonegroup.com,450.6,"Hedge(1), PE(2)",3,ST HELIER,,Jersey,307061,802-119456,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; concentrated_few_funds; clean_regulatory
63,58,GREENWOODS ASSET MANAGEMENT HONG KONG LIMITED,HTTPS://WWW.GREENWOODSASSET.COM,2568.2,Hedge(2),2,HONG KONG,,China,161898,802-124941,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
64,58,"SWISS SELECT ADVISORS, LLC",HTTPS://WWW.LINKEDIN.COM/COMPANY/SWISS-SELECT-ADVISORS-LLC/,123.9,"Hedge(1), Other(1)",2,DALLAS,TX,United States,151914,802-127361,hedge_fund_pure_equity_signal; other_fund_type; aum_100m+; concentrated_few_funds; name_strategy:advisors
65,58,BOYU CAPITAL MANAGEMENT (SINGAPORE) PTE. LTD.,http://WWW.BOYUCAPITAL.COM,1151.2,Hedge(1),1,SINGAPORE,,Singapore,325207,802-127549,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
66,58,TURIYA ADVISORS ASIA LIMITED,https://turiyacap.com,1744.4,Hedge(1),1,HONG KONG,,Hong Kong,157703,802-74674,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:advisors; clean_regulatory
67,58,CLOUDALPHA CAPITAL MANAGEMENT LIMITED,https://www.cloudalphacap.com/,1195.0,Hedge(2),2,HONG KONG,,Hong Kong,315918,802-130515,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
68,58,THELEME PARTNERS LLP,HTTPS://WWW.THELEMEPARTNERS.COM,4642.5,Hedge(3),3,LONDON,,United Kingdom,157257,802-78387,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:partners; clean_regulatory
69,58,HELIKON INVESTMENTS LIMITED,https://www.linkedin.com/company/helikon-investments-limited/,6564.3,Hedge(1),1,LONDON,,United Kingdom,307662,802-118539,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; clean_regulatory
70,58,HONEYCOMB ASSET MANAGEMENT LP,https://www.linkedin.com/company/honeycomb-asset-management/,79.2,"Hedge(1), PE(2)",3,NEW YORK,NY,United States,283312,802-135416,hedge_fund_pure_equity_signal; pe_fund_no_vc; concentrated_few_funds; name_strategy:asset management; us_based
71,58,OVATA CAPITAL MANAGEMENT LIMITED,https://www.linkedin.com/company/ovatacap/,1883.0,Hedge(3),3,HONG KONG,,Hong Kong,290633,802-112198,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
72,58,ASGARD ASSET MANAGEMENT A/S,https://asgardam.com/,1150.0,Hedge(1),1,"COPENHAGEN K, COPENHAGEN",,Denmark,324667,802-132678,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
73,58,BLUE DIAMOND ASSET MANAGEMENT AG,http://www.bd-am.com,2647.5,Hedge(1),1,ZUG,,Switzerland,305253,802-117356,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
74,58,OQ FUNDS MANAGEMENT,https://www.linkedin.com/company/oq-fundsmanagement,7930.8,Hedge(1),1,CENTRAL,,Hong Kong,326070,802-128233,hedge_fund_pure_equity_signal; aum_5b+; concentrated_few_funds; clean_regulatory
75,58,TRESIDOR INVESTMENT MANAGEMENT LLP,https://www.tresidor.com/,2540.8,Hedge(2),2,LONDON,,United Kingdom,304534,802-116927,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:investment management; clean_regulatory
76,58,AGAVE CAPITAL MANAGEMENT LIMITED,https://www.agavecapital.com/,1395.0,Hedge(1),1,LONDON,,United Kingdom,336705,802-133882,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
77,58,PILLAR CAPITAL MANAGEMENT LIMITED,HTTP://WWW.PILLAR-CAPITAL.COM,4225.5,Hedge(3),3,HAMILTON,,Bermuda,163930,802-130064,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
78,57,ZENO EQUITY PARTNERS LLP,https://www.zenoep.com,503.5,"Hedge(6), PE(1)",7,LONDON,,United Kingdom,163002,802-74732,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_500m+; name_strategy:equity; name_strategy:partners
79,56,CAPULA INVESTMENT MANAGEMENT LLP,http://www.capulaglobal.com,455726.7,Hedge(6),6,LONDON,,United Kingdom,163364,802-75433,hedge_fund_pure_equity_signal; aum_5b+; moderate_fund_count; name_strategy:investment management; clean_regulatory
80,56,ASIA DEBT MANAGEMENT HONG KONG LIMITED,HTTP://WWW.ADMCAPITAL.COM,892.2,"Hedge(2), PE(4)",6,WANCHAI,,Hong Kong,162215,802-123222,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_500m+; moderate_fund_count; clean_regulatory
81,56,VELT PARTNERS INVESTIMENTOS LTDA.,HTTP://WWW.VELT.COM,296.2,"Hedge(1), PE(4)",5,SAO PAULO,,Brazil,283114,802-129973,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; moderate_fund_count; name_strategy:partners
82,56,KITE LAKE CAPITAL MANAGEMENT (UK) LLP,https://www.kitelake.com,5351.9,Hedge(4),4,LONDON,,United Kingdom,168309,802-78380,hedge_fund_pure_equity_signal; aum_5b+; moderate_fund_count; name_strategy:capital management; clean_regulatory
83,56,TYRUS CAPITAL S.A.M.,https://uk.linkedin.com/company/tyrus-capital,961.2,"Hedge(1), PE(3)",4,MONACO,,Monaco,164398,802-76770,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_500m+; moderate_fund_count; clean_regulatory
84,56,ELWOOD CAPITAL PARTNERS LP,https://www.linkedin.com/company-elwoodcap/about/,116.6,Hedge(1),1,NEW YORK,NY,United States,326288,802-128062,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital partners; name_strategy:partners
85,56,Q FUND MANAGEMENT (HONG KONG) LIMITED,HTTP://WWW.QFM.HK,271.3,"Hedge(3), PE(1)",4,HONG KONG,,Hong Kong,284023,802-107920,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; moderate_fund_count; name_strategy:fund management
86,56,LIM ADVISORS LIMITED,https://www.limadvisors.com,188.7,"Hedge(3), PE(1)",4,HONG KONG,,Hong Kong,159888,802-74699,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; moderate_fund_count; name_strategy:advisors
87,56,"BLACK BEAR VALUE PARTNERS, LP",https://www.blackbearfund.com/,55.4,Hedge(1),1,BOCA RATON,FL,United States,319746,802-125938,hedge_fund_pure_equity_signal; concentrated_few_funds; name_positive:value; name_strategy:partners; us_based
88,56,BLUEGRASS CAPITAL PARTNERS LP,https://www.linkedin.com/company/bluegrass-capital-partners,123.8,Hedge(1),1,PALM BEACH,FL,United States,285740,802-108998,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital partners; name_strategy:partners
89,56,OP INVESTMENT MANAGEMENT LIMITED,https://www.opim.com.hk/en,184.9,"Hedge(3), PE(1)",4,"CENTRAL, HONG KONG",,China,306356,802-117786,hedge_fund_pure_equity_signal; pe_fund_no_vc; aum_100m+; moderate_fund_count; name_strategy:investment management
