Rank,Score,Firm Name,Website,AUM ($M),Fund Types,# Funds,City,State,Country,CRD#,SEC#,Key Signals
115,55,AMANSA CAPITAL PTE. LTD.,HTTPS://WWW.AMANSACAPITAL.COM,3830.9,Hedge(1),1,SINGAPORE,,Singapore,145780,802-74123,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; clean_regulatory
116,55,SOUTHERN RIDGES CAPITAL PTE. LTD.,https://www.southernridgescapital.com,1859.7,Hedge(1),1,SINGAPORE,,Singapore,299146,802-114387,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; clean_regulatory
117,55,"TAH MANAGEMENT, LP",HTTP://www.tah-management.com,96.7,"Hedge(1), PE(1)",2,NEW YORK,NY,United States,281645,802-134939,hedge_fund_pure_equity_signal; pe_fund_no_vc; concentrated_few_funds; us_based; clean_regulatory
118,55,KADENSA CAPITAL LIMITED,https://www.kadensacapital.com/,2210.5,Hedge(1),1,CENTRAL,,Hong Kong,285524,802-110605,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; clean_regulatory
119,55,EDL CAPITAL AG,https://www.edlcap.com,1207.0,Hedge(2),2,"PFAFFIKON, SCHWYZ",,Switzerland,298359,802-113959,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; clean_regulatory
120,55,WELWING CAPITAL GROUP LIMITED,https://www.welwingcapital.com/,3826.1,Hedge(1),1,CENTRAL,,Hong Kong,306751,802-118029,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; clean_regulatory
121,55,COVALIS CAPITAL LLP,https://www.linkedin.com/company/covalis-capital-llp/about/,2681.9,Hedge(3),3,LONDON,,United Kingdom,174043,802-115074,hedge_fund_pure_equity_signal; aum_1b+; concentrated_few_funds; clean_regulatory
122,54,GOLDEN PINE ASSET MANAGEMENT LIMITED,https://www.goldenpineinv.com/,874.2,Hedge(2),2,HONG KONG,,Hong Kong,321232,802-125837,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
123,54,Y2 CAPITAL PARTNERS LIMITED,https://www.y2cap.com,201.7,Hedge(1),1,HONG KONG,,Hong Kong,315256,802-121779,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital partners; name_strategy:partners
124,54,ANDURAND CAPITAL MANAGEMENT LTD.,http://www.andurandcapital.com/,678.7,Hedge(3),3,ST. JULIAN'S,,Malta,317820,802-126981,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
125,54,TRIBECA INVESTMENT PARTNERS PTY LTD,HTTP://WWW.TRIBECAIP.COM,135.3,Hedge(2),2,SYDNEY,,Australia,164313,802-77033,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:investment partners; name_strategy:partners
126,54,VARENNE CAPITAL PARTNERS,https://www.linkedin.com/company/varenne-capital-partners/,105.8,Hedge(1),1,PARIS,,France,309843,802-119257,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:capital partners; name_strategy:partners
127,54,MARCHO PARTNERS LLP,https://www.marchopartners.com,523.1,Hedge(2),2,LONDON,,United Kingdom,310726,802-119562,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:partners; clean_regulatory
128,54,MODULAR ASSET MANAGEMENT (SINGAPORE) PTE LTD,http://www.modularam.com,732.1,Hedge(1),1,SINGAPORE,,Singapore,306736,802-117904,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
129,54,RADAR EQUITIES LLC,https://radarasset.com/,523.1,Hedge(2),2,RIO DE JANEIRO,,Brazil,324793,802-127634,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:equities; clean_regulatory
130,54,PRUDENCE INVESTMENT MANAGEMENT (HONG KONG) LIMITED,HTTP://WWW.PRUDENCEINV.COM/,753.8,Hedge(1),1,HONG KONG,,Hong Kong,167624,802-78444,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:investment management; clean_regulatory
131,54,PALMERSTON CAPITAL MANAGEMENT LLP,HTTP://WWW.PALMERSTONLLP.COM,890.1,Hedge(3),3,LONDON,,United Kingdom,284492,802-108078,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:capital management; clean_regulatory
132,54,EWING MORRIS & CO. INVESTMENT PARTNERS LTD.,HTTP://WWW.EWINGMORRIS.COM,269.0,Hedge(2),2,TORONTO,,Canada,173004,802-80406,hedge_fund_pure_equity_signal; aum_100m+; concentrated_few_funds; name_strategy:investment partners; name_strategy:partners
133,54,PRIMAS ASSET MANAGEMENT LIMITED,https://primascapital.com/,602.1,Hedge(1),1,HONG KONG,,Hong Kong,333437,802-131450,hedge_fund_pure_equity_signal; aum_500m+; concentrated_few_funds; name_strategy:asset management; clean_regulatory
